"numgainrex","codesolution","coderex","gainfinanciergainrex","codemonnaiegainrex","codeperiodeeconomie","energiegainrex","uniteenergiegainrex","codeperiodeenergie","gesgainrex","minigainrex","maxigainrex","moyengainrex","reelgainrex","trireelgainrex","trimingainrex","trimaxgainrex","codelicense"
"3582","80","132","1605.0","3","3","18600.0","5","1","17.0","NULL","NULL","NULL","NULL","1.08","NULL","NULL","3"
"3583","80","132","2761.0","3","3","32000.0","5","1","29.0","NULL","NULL","NULL","NULL","NULL","NULL","NULL","3"
"4048","80","751","9200000.0","7","3","3400000.0","5","1","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","3"
"10","81","33","NULL","1","1","NULL","1","1","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","3"
"413","81","127","160000.0","3","3","2750.0","12","3","2126.0","NULL","NULL","NULL","NULL","NULL","NULL","NULL","3"
"3794","85","590","64000.0","7","3","20.0","12","1","NULL","0.05","0.08","NULL","NULL","0.58","NULL","NULL","3"
"3485","86","1244","NULL","1","1","NULL","1","1","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","3"
"1592","89","770","NULL","1","3","976.0","2","1","59.0","NULL","NULL","NULL","NULL","NULL","NULL","NULL","3"
"1603","89","1516","NULL","1","3","1420.0","2","1","85.0","NULL","NULL","NULL","NULL","NULL","NULL","NULL","3"
"1604","89","1541","NULL","1","3","424.0","2","1","25.0","NULL","NULL","NULL","NULL","NULL","NULL","NULL","3"
"3075","91","1693","NULL","1","1","NULL","1","1","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","3"
"1721","92","669","77000.0","3","3","41.0","34","1","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","3"
"1888","92","1234","NULL","1","3","340000.0","5","1","NULL","NULL","NULL","NULL","NULL","2.0","NULL","NULL","3"
"2004","92","844","NULL","1","1","NULL","1","1","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","3"
"3125","92","1447","NULL","1","1","NULL","1","1","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","3"
"3147","92","134","NULL","1","1","NULL","1","1","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","3"
"3604","92","139","25000.0","3","3","427300.0","5","1","264.0","NULL","NULL","NULL","NULL","1.2","NULL","NULL","3"
"3611","92","740","115000.0","3","3","170.0","16","1","NULL","NULL","NULL","NULL","NULL","0.67","NULL","NULL","3"
"3803","92","1744","NULL","1","1","NULL","1","1","NULL","NULL","NULL","NULL","0.05","NULL","NULL","NULL","3"
"3917","92","160","10657.0","3","3","274400.0","5","1","245.0","NULL","NULL","NULL","NULL","0.83","NULL","NULL","3"
"3931","92","529","NULL","1","1","NULL","1","1","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","3"
"4024","92","1531","NULL","1","1","NULL","1","1","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","3"
"2051","93","2050","NULL","1","1","NULL","1","1","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","3"
"3615","93","741","16000.0","3","3","NULL","1","1","NULL","NULL","NULL","NULL","NULL","0.42","NULL","NULL","3"
"3713","93","533","1600000.0","7","3","345000.0","16","1","NULL","NULL","NULL","NULL","NULL","0.02","NULL","NULL","3"
"957","94","179","36000.0","3","3","313.0","12","3","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","3"
"1422","94","514","415000.0","9","3","4615.0","12","3","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","3"
"956","95","179","7000.0","3","3","65.0","12","3","NULL","NULL","NULL","NULL","NULL","0.8","NULL","NULL","3"
"1095","95","1806","33000.0","3","3","6200.0","11","3","NULL","NULL","NULL","NULL","NULL","2.7","NULL","NULL","3"
"1675","95","800","NULL","1","3","NULL","2","1","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","3"
"2299","95","1274","NULL","1","1","NULL","1","1","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","3"
"2938","95","608","NULL","1","1","NULL","1","1","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","3"
"2983","95","1445","NULL","1","1","NULL","1","1","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","3"
"3361","95","553","NULL","1","1","NULL","1","1","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","3"
"3625","95","1529","NULL","1","1","NULL","1","1","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","3"
"3627","95","1530","NULL","1","1","NULL","1","1","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","3"
"3630","95","1688","NULL","1","3","514.0","2","1","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","3"
"404","97","124","7700.0","3","3","290.0","15","1","NULL","NULL","NULL","NULL","NULL","3.6","NULL","NULL","3"
"451","97","193","NULL","1","1","NULL","1","1","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","3"
"558","97","366","NULL","1","1","NULL","1","1","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","3"
"685","97","426","12.0","2","1","NULL","1","1","NULL","NULL","NULL","NULL","0.2","NULL","NULL","NULL","3"
